variable,line_num,filename,call_trace,line
diffus_chi,4528,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_sqrtrhochi,diffus_chi=diffus_chi+(rhochi+chi_t)*dxyz_2
diffus_chi,4760,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock,if (lheatc_shock)  diffus_chi=diffus_chi+exp(-onethird*p%lnrho)*chi_shock*p%shock*p%cp1*dxyz_2
diffus_chi,4762,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock,if (lheatc_shock2)  diffus_chi=diffus_chi+exp(-onethird*p%lnrho)*chi_shock2*p%shock**2*p%cp1*dxyz_2
diffus_chi,4765,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock,if (lheatc_shock)  diffus_chi=diffus_chi+(gamma*chi_shock*p%shock)*dxyz_2
diffus_chi,4767,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock,if (lheatc_shock2)  diffus_chi=diffus_chi+(gamma*chi_shock2*p%shock**2)*dxyz_2
diffus_chi,4771,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock,if (lheatc_shock)  diffus_chi=diffus_chi+(chi_shock*p%shock)*dxyz_2
diffus_chi,4773,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock,if (lheatc_shock2)  diffus_chi=diffus_chi+(chi_shock2*p%shock**2)*dxyz_2
diffus_chi,4845,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock_profr,diffus_chi=diffus_chi+(gamma*pchi_shock*p%shock)*dxyz_2
diffus_chi,4847,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_shock_profr,diffus_chi=diffus_chi+(pchi_shock*p%shock)*dxyz_2
diffus_chi3,4565,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_hyper3,if (lfirst.and.ldt) diffus_chi3=diffus_chi3+chi_hyper3*dxyz_6
